Business Date,Net Sales Total  (Sum),Number of Checks  (Sum),Revenue Center Name
7/1/2017,0,0,Cellar
7/1/2017,613.81,59,ETC
7/1/2017,0,0,Tylers
7/1/2017,0,0,8:15
7/1/2017,0,0,Passport
7/1/2017,0,0,Lou's
7/2/2017,0,0,Cellar
7/2/2017,695.18,75,ETC
7/2/2017,0,0,Tylers
7/2/2017,0,0,8:15
7/2/2017,0,0,Passport
7/2/2017,0,0,Lou's
7/3/2017,0,0,Cellar
7/3/2017,"1,061.64",178,ETC
7/3/2017,720.75,97,Tylers
7/3/2017,243.35,59,8:15
7/3/2017,674.8,93,Passport
7/3/2017,0,0,Lou's
7/4/2017,0,0,Cellar
7/4/2017,63.42,1,ETC
7/4/2017,0,0,Tylers
7/4/2017,0,0,8:15
7/4/2017,0,0,Passport
7/4/2017,0,0,Lou's
7/5/2017,0,0,Cellar
7/5/2017,"1,546.13",227,ETC
7/5/2017,988.67,144,Tylers
7/5/2017,255.78,70,8:15
7/5/2017,"1,151.21",157,Passport
7/5/2017,0,0,Lou's
7/6/2017,0,0,Cellar
7/6/2017,"1,891.25",234,ETC
7/6/2017,926.13,139,Tylers
7/6/2017,464.13,108,8:15
7/6/2017,"1,141.86",152,Passport
7/6/2017,0,0,Lou's
7/7/2017,0,0,Cellar
7/7/2017,"1,488.94",180,ETC
7/7/2017,722.11,117,Tylers
7/7/2017,340.19,71,8:15
7/7/2017,"1,106.74",139,Passport
7/7/2017,0,0,Lou's
7/8/2017,0,0,Cellar
7/8/2017,905.72,66,ETC
7/8/2017,0,0,Tylers
7/8/2017,0,0,8:15
7/8/2017,0,0,Passport
7/8/2017,0,0,Lou's
7/9/2017,0,0,Cellar
7/9/2017,623.82,65,ETC
7/9/2017,0,0,Tylers
7/9/2017,0,0,8:15
7/9/2017,0,0,Passport
7/9/2017,0,0,Lou's
7/10/2017,0,0,Cellar
7/10/2017,"1,127.28",160,ETC
7/10/2017,978.49,148,Tylers
7/10/2017,296.79,85,8:15
